N,T,R,hour
-193436.215110827,98268.253198943,-4123.11681329452,96
-53185.7261370035,105365.502597198,-1045.36424751972,96
-32900.0468182167,106392.041088378,283.561349637883,96
-221422.557987444,693943.756163747,-11506.4052154908,168
-241718.946991564,692455.891648365,-50648.3499550007,168
-158250.697166218,698574.68682178,-29747.3349376593,168
-241718.946991564,692455.891648365,-50648.3499550007,168
126831.910762648,1330020.80306025,8443.87540976178,216
113400.69096915,1328125.70369645,5814.72437573358,216
96246.2483579455,1325705.27027501,-1985.61251818522,216
16244.7618867355,1314417.33303285,-941.273938934119,216
-99896.1156313246,1515140.72610524,36560.4457229987,288
-239246.412244714,1502829.61100977,-3849.57067067928,288
-497572.236204182,1480007.42097368,-38515.5863090025,288
-1663836.50830361,878352.98148498,-368665.87309056,336
305514.144890195,1204193.64159735,87780.9165270322,336
358204.332028786,1212911.54327262,112391.239585007,336
-1403121.8118507,921489.762969496,-99536.7529152438,336
-957231.317542359,995264.970430714,-30818.3038204018,336
-2148166.27537182,45085.4197417757,21688.3338599846,432
327624.022501684,538283.946692093,263636.653501597,432
-3773790.53758822,-278752.787471681,-267235.555442821,432
449427.186074438,562548.17492805,300975.207099962,432
-770566.716051071,319514.992378832,80445.5680503866,432
